Timestamp,NRIC,RoleAttempted,IPAddress 2025-04-16 12:20:34,T1234567J,HDB Manager,127.0.0.1
2025-04-16 12:20:45,T1234567J,HDB Manager,127.0.0.1
2025-04-16 12:20:51,T1234567J,HDB Manager,127.0.0.1
2025-04-16 12:22:57,T1234567J,HDB Manager,127.0.0.1
2025-04-16 12:27:03,T1234567J,HDB Manager,127.0.0.1
2025-04-16 12:29:14,S1234567W,HDB Manager,127.0.0.1
2025-04-16 12:29:34,S1234567W,HDB Manager,127.0.0.1
2025-04-16 12:30:00,S1234567W,HDB Manager,127.0.0.1
2025-04-16 14:51:53,S1234567W,HDB Manager,127.0.0.1
2025-04-16 14:52:24,S1234567W,HDB Manager,127.0.0.1
2025-04-16 20:01:38,T2109876H,Applicant,127.0.0.1
2025-04-16 20:02:04,T2109876H,Applicant,127.0.0.1
2025-04-16 20:02:13,T2109876H,Applicant,127.0.0.1
2025-04-19 12:56:11,S1234567A,Applicant,127.0.0.1
2025-04-19 12:56:23,S1234567A,Applicant,127.0.0.1
2025-04-19 12:56:32,T5678901U,Applicant,127.0.0.1
2025-04-19 12:56:47,T5678901U,Applicant,127.0.0.1
